replication	volatility	capacity_scale	penalty_scale	method	lambda	status	certified	objective	gap	solve_sec	selected_count	selected	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty	capacity_utilization
3	HIGH	1.00	5.00	D	0.00	Optimal	true	67484.2553810951	0.000000000	0.003589	9	0|1|4|5|6|7|8|9|10	91204.0424864071	45628.5697607459	169922.3277302487	239312.7476049484	341359.1448848811	0.0705475912	3052.1517972453	0.3984789457
3	HIGH	1.00	5.00	SAA	0.00	Optimal	true	91091.8738207081	0.000000000	1.535344	9	0|1|4|5|6|7|8|9|10	91204.0424864071	45628.5697607459	169922.3277302487	239312.7476049484	341359.1448848811	0.0705475912	3052.1517972453	0.3984789457
3	HIGH	1.00	5.00	CSAA	0.00	Optimal	true	91252.0461155682	0.000000000	1.215047	9	0|1|4|5|6|7|8|9|10	91204.0424864071	45628.5697607459	169922.3277302487	239312.7476049484	341359.1448848811	0.0705475912	3052.1517972453	0.3984789457
3	HIGH	1.00	5.00	C_CHI2	0.50	PrimalFeasible	true	109256.5765668329	0.000000000	1.775199	9	0|1|4|5|6|7|8|9|10	91204.0424864071	45628.5697607459	169922.3277302487	239312.7476049484	341359.1448848811	0.0705475912	3052.1517972453	0.3984789457
3	HIGH	0.75	1.00	D	0.00	Optimal	true	75802.4608906317	6.436805321e-05	0.009697	9	0|1|4|5|7|8|9|10|11	103217.5560152305	56597.2726434028	202408.9191373667	274948.8127273734	381952.4333416499	0.1240319425	1734.8593723383	0.5018946689
3	HIGH	0.75	1.00	SAA	0.00	Optimal	true	102779.1461846136	0.000000000	1.852551	9	0|1|4|5|6|7|8|9|10	101822.7334027061	55717.2537303859	201924.5726330426	272609.8285331455	374988.8785573624	0.1248362685	1469.2758189780	0.5002720853
3	HIGH	0.75	1.00	CSAA	0.00	Optimal	true	101839.9509465457	5.998421776e-05	1.483118	9	0|1|4|5|6|7|8|9|10	101822.7334027061	55717.2537303859	201924.5726330426	272609.8285331455	374988.8785573624	0.1248362685	1469.2758189780	0.5002720853
3	HIGH	0.75	1.00	C_CHI2	0.50	PrimalFeasible	true	125694.1870189032	0.000000000	8.399241	9	0|1|4|5|6|7|8|9|10	101822.7334027061	55717.2537303859	201924.5726330426	272609.8285331455	374988.8785573624	0.1248362685	1469.2758189780	0.5002720853
3	HIGH	0.75	2.00	D	0.00	Optimal	true	75960.4475621180	0.000000000	0.005750	9	0|1|4|5|6|7|8|9|10	102961.3010809970	54753.6673632532	201924.5726330426	272627.6653451476	374988.8785573624	0.1248362685	1962.2300848997	0.5002720853
3	HIGH	0.75	2.00	SAA	0.00	Optimal	true	103816.7531079109	0.000000000	1.964477	9	0|1|4|5|6|7|8|9|10	102961.3010809970	54753.6673632532	201924.5726330426	272627.6653451476	374988.8785573624	0.1248362685	1962.2300848997	0.5002720853
